Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,140.99342830602245,140.78603185426567,140.0218954988714,140.14111501415266,140.90262994235667,14958614
2023-01-03,143.29954064516744,144.4506927388968,144.00375222406987,144.0850171685218,144.3562971903148,6262752
2023-01-04,144.56894171165388,141.6990213446672,147.15631846042342,143.81725542278787,143.53611165816739,16919017
2023-01-05,143.3151674866163,143.06936681187415,145.5296620263482,143.11062378327466,143.85411426229825,13242680
2023-01-06,143.35506211372,142.58190862058132,144.2554428888789,144.09198525903213,144.56570516955546,7745683
2023-01-09,145.65037052806213,143.99872389353737,143.95502823721657,143.9626035195344,144.14916297689913,6870928
2023-01-10,145.60769334374078,143.77642786878425,145.29439795123363,144.464508103423,143.4846730414831,10414709
2023-01-11,140.10783960977557,138.5419949974233,139.8487990499873,139.42207424998446,139.58417363376083,5564685
2023-01-12,137.40390356425425,135.0289622439489,136.24335293900373,135.8101150186372,135.5410441878057,11723771
2023-01-13,133.54901040927405,133.75065373321607,132.67582621720447,133.4593831807846,133.9032574105813,12469344
2023-01-16,134.85626369920652,135.11666679470372,133.86283692877794,134.92864068479986,135.04920176609343,5996107
2023-01-17,133.9702922091093,133.69180374411357,135.62979467011834,134.21582451694215,133.6177212049018,8602279
2023-01-18,135.13159467094218,132.60516360339335,134.64132683498715,132.91279971922486,132.87224024214552,17796932
2023-01-19,135.9036682249918,136.41094010298178,130.84522384455178,133.22479584157568,132.764600439042,13511017
2023-01-20,130.46336179303117,130.04215235574105,130.55308768852368,130.2652902967076,130.7458771799168,5874371
2023-01-23,129.8259465210326,130.3616153783002,127.60910545392032,128.2388746751159,127.97973956597909,16859103
2023-01-24,131.48471567379866,132.72031528926138,131.0451268053303,131.54036895130776,131.98868414316323,5109556
2023-01-25,132.0546026914203,132.52637203521508,129.99680949109566,132.2635284794934,132.3513051264708,11860006
2023-01-26,131.74715888242073,132.43859230555117,133.77124384227025,133.55181496654953,133.0422785738655,17195226
2023-01-27,130.7210734824487,130.09010549830066,131.23514525723886,130.15547615717037,129.75433752255955,17414325
2023-01-30,130.75812175906964,128.5703463775895,131.75222922913696,130.94430012779569,130.87106372442489,8360011
2023-01-31,130.90719851877242,128.3969415857871,132.51599627042592,132.3640569171232,131.8677638274216,5813168
2023-02-01,132.23530081552127,132.75265431808836,132.35543181855002,132.6074104452778,132.48672037945568,9372093
2023-02-02,132.5379869058673,130.78496984943803,130.82375268409479,130.8145364265179,131.1905029428613,12103230
2023-02-03,130.53995441915936,132.6419367661998,130.60805840208963,132.26858152480045,132.3770498878816,11314127
2023-02-06,131.2817165603938,132.66646047290672,128.7218091298761,128.78724233153434,129.22403703935203,6607618
2023-02-07,127.7149221311763,129.35971541591863,127.07290286969216,128.98858884998174,127.75373941744795,10251035
2023-02-08,127.3134260664555,128.32920516482866,124.50494739047443,125.37898158816158,125.5771685581938,18228175
2023-02-09,125.83390145736983,127.79461558879348,128.24512630921168,128.20318251421452,128.29549944348068,16529867
2023-02-10,130.20415372973872,130.43278502312762,131.1062495980963,130.6345834098077,130.2112762313753,17503247
2023-02-13,131.86986510083,133.69547129630016,131.5304326965817,131.5503446683353,131.97404538462362,16310552
2023-02-14,131.90001069231823,130.07472835377936,130.32598960383694,130.26963941679233,130.93219224754944,10333152
2023-02-15,130.25992552749028,129.68494056809143,130.9537158177929,130.00953067658133,129.45328199941662,14405634
2023-02-16,131.65365099657032,134.49884047055124,132.02173317057463,132.67866789153013,132.3017998093514,12740141
2023-02-17,133.31044970583477,133.39937163191456,131.94468137809278,132.5765906279159,132.5617279490722,15403092
2023-02-20,138.04543494603936,138.18608309126728,140.15504284681168,138.73256370655386,138.71529887850645,19725778
2023-02-21,141.69226125695096,142.28742267885764,144.36713785019924,142.52972192830248,142.40815469809897,11979451
2023-02-22,143.47619717744956,143.36695380846425,144.74638775455216,143.57230093710152,142.81487732475858,7215167
2023-02-23,138.93616444072586,138.53413691296154,137.29166975641422,138.44718512870278,138.27947961666737,5445101
2023-02-24,138.90909257459305,137.6956872375075,137.3229573112995,137.59906394353223,137.62474437327205,12315360
2023-02-27,138.43634288187744,137.34407400783243,141.13917483538728,139.54606415969633,139.77992269844538,14881393
2023-02-28,140.57615953230842,146.3552567682905,139.71982376626866,144.37767794995065,144.94546077004094,17128655
2023-03-01,144.51438045215832,143.90026720630098,141.68005896796845,142.40862622372666,142.07072385661596,16587257
2023-03-02,138.83163321376566,139.3675900266706,139.4534309218505,139.4502249198949,139.49032427616532,14827141
2023-03-03,140.15906409013422,137.3385952074554,138.7094760871756,138.33722309585485,138.08175086221138,6752683
2023-03-06,136.8764898324206,137.20117771679355,136.80813207256486,137.02062635223075,136.69482617842783,8054390
2023-03-07,136.8062374019085,136.0769114732788,134.41676471051932,134.833230002898,134.61625920339299,8177945
2023-03-08,133.2895918473845,135.78154444329672,133.79096248411003,134.28909148261107,134.1301680293558,15100349
2023-03-09,134.6568025114302,135.52364821407843,131.45484063941907,133.22750982963348,133.34093424062388,19932828
2023-03-10,130.18876989772545,129.46241878842608,128.2884031739455,128.3053013543437,127.95146662153431,16988941
2023-03-13,129.70348611806367,130.60333106863018,130.4253583187989,130.54100032786684,129.4941033258493,10084921
2023-03-14,133.62713563158502,135.61203134231187,133.81975385139458,134.9414684907966,134.70863610516935,18470137
2023-03-15,141.31553516694254,141.4417804484544,139.85658586659434,141.35283772400726,142.12507514336116,17220673
2023-03-16,141.4924418939873,140.91447149869464,141.32216587611043,141.16391117971412,141.49497651697465,16438459
2023-03-17,141.6178797821528,141.2114363889012,140.94844576014992,141.16421033163775,141.73233149019737,18087911
2023-03-20,140.19134479953303,140.5027421914616,138.86385909875304,138.90199908076508,138.6697342064426,13454561
2023-03-21,138.84515616556695,136.270519496651,140.40959825597122,136.5327377856687,137.19597361982824,5531831
2023-03-22,138.15846202334663,139.10290528623204,139.40195453972973,139.1774837585872,138.8973932384887,14222335
2023-03-23,142.3991243773722,143.1910650179119,142.95076855135176,143.09027122620066,142.816409484721,9594877
2023-03-24,140.0221409888028,140.56674539380876,138.30558368559076,138.84427415091983,139.27320648031406,16720477
2023-03-27,138.86856716906627,140.2649682950274,139.65334930944692,140.20106831802352,140.675639811914,15664112
2023-03-28,139.37848713670388,140.85452245354853,139.22313501004035,140.010313628517,140.14413163559857,8599865
2023-03-29,138.37387226205004,141.51245317557823,139.8828983342996,140.97880404024917,140.3717097338553,15198499
2023-03-30,144.606137192007,145.2130115346833,144.4710283115345,145.09316697118035,145.1345321890806,6332397
2023-03-31,144.22656015737522,144.53229424866643,143.3878963534534,143.48099172679815,143.9172625225134,17053668
2023-04-03,144.37200552936093,142.17937054530736,143.93718131205523,142.89675291423836,142.80314043606396,16003683
2023-04-04,141.45986447173348,141.1396937441657,140.99350312333647,141.0555204022377,141.79319851071247,5448345
2023-04-05,139.60685281154352,136.7931848536976,140.46815498475505,138.3680086864216,137.62202152369218,16564691
2023-04-06,140.91028513838344,142.0665797905795,140.17125541268283,140.88175676061036,140.92619326367623,7387312
2023-04-07,140.9965826561231,139.73042105751,138.95835770612402,139.71335897376503,139.57018571568207,10658796
2023-04-10,140.16154393738586,140.18043253855856,140.01502978956262,140.17535509356276,139.78885020163503,14246766
2023-04-11,143.07764230915285,144.51654854828067,139.84786862288553,142.57584512108198,142.19217133963795,16684495
2023-04-12,143.30966395527594,143.62390924922448,144.62300663732387,144.28764954329594,144.1702253765013,12349369
2023-04-13,143.97220162678772,141.93961469351083,142.42330102076076,142.38570183970705,141.48063617720905,12467048
2023-04-14,141.73895624170066,139.24878011086616,139.1473348005493,139.17482218267696,138.42852150046912,6600396
2023-04-17,136.5343557686357,139.28154391741722,134.76519558755376,139.22407848529937,138.98949065924702,13501424
